0,16781
1,19109
2,21388
3,23786
4,26295
5,28796
6,31330
7,34434
8,37204
9,40096
10,43252
11,46606
12,49870
13,53138
14,56484
15,60419
16,64269
17,67842
18,71510
19,75503
20,79755
21,84004
22,88219
23,93145
24,96772
25,101952
26,106600
27,111023
28,115534
29,121084
30,125901
31,131572
32,137019
33,141377
34,147176
35,152806
36,159099
37,164656
38,170742
39,176591
40,182453
41,188346
42,195196
43,201582
44,207834
45,214218
46,220544
47,228032
48,234608
49,241501
50,249538
51,256934
52,262884
53,271022
54,277989
55,285485
56,293674
57,301714
58,308629
59,317704
60,325103
61,333160
62,342387
63,350439
64,359710
65,367406
66,376185
67,385130
68,393512
69,402343
70,412140
71,421662
72,429830
73,439760
74,448741
75,458247
76,467884
77,478358
78,487088
79,498028
80,507795
81,517143
82,528159
83,536759
84,549086
85,559748
86,570578
87,582500
88,591833
89,604086
